word,meaning
liquid,（名）液体
pump,（名）ポンプ
architect,（名）建築家
ceiling,（名）天井
departure,（名）出発
pole,（名）柱
objection,（名）反対
publicity,（名）知れ渡ること
stranger,（名）見知らぬ人
applicant,（名）志願者
mask,（名）マスク
depression,（名）憂鬱
advertisement,（名）広告
tide,（名）潮
satellite,（名）人工衛星
illustration,（名）説明画
shortage,（名）不足
insect,（名）昆虫
panic,（名）パニック
courage,（名）勇気
tournament,（名）選手権大会
rhythm,（名）リズム
warmth,（名）暖かさ
sculpture,（名）彫刻
pioneer,（名）先駆者
clue,（名）手がかり
wildlife,（名）野生動物
accent,（名）なまり
ingredient,（名）材料
scholar,（名）学者
accuracy,（名）正確さ
blade,（名）刃
neighborhood,（名）近所
cab,（名）タクシー
geography,（名）地理学
script,（名）台本
equality,（名）平等
breeze,（名）そよ風
encouragement,（名）奨励
destination,（名）目的地
bureau,（名）事務局
electronics,（名）電子工学
tourism,（名）観光事業
monument,（名）記念碑
tribe,（名）部族
feedback,（名）反応
reminder,（名）思い起こさせるもの
foreigner,（名）外国人
apology,（名）謝罪
lens,（名）レンズ
jar,（名）瓶
disagreement,（名）意見の相違
aluminium,（名）アルミニウム
biography,（名）伝記
rehearsal,（名）リハーサル
documentary,（名）ドキュメンタリー
acquaintance,（名）知人
basement,（名）地下室
wheelchair,（名）車いす
submarine,（名）潜水艦
thief,（名）泥棒
buffet,（名）軽食
housework,（名）家事
creator,（名）創作者
hurricane,（名）ハリケーン
rainforest,（名）熱帯雨林
extinction,（名）絶滅
masterpiece,（名）傑作
laundry,（名）クリーニング店
calculator,（名）計算機
brightness,（名）明るさ
latitude,（名）緯度
inventor,（名）発明者
motorcycle,（名）バイク
animation,（名）アニメーション
